lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod_add,mas_vnr_area,bsmt_fin_sf_1,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,tot_rms_abv_grd,fireplaces,garage_yr_blt,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,ms_subclass,ms_zoning,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,bldg_type,house_style,roof_style,exterior_1st,exterior_2nd,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_type_2,heating,heating_qc,central_air,electrical,kitchen_qual,functional,fireplace_qu,garage_type,garage_finish,garage_qual,garage_cond,paved_drive,sale_type,sale_condition,sale_price
52,13035,7,3,1940,2003,120.57282783750411,662.4839919827515,120.6112517261698,361.84703717299476,1144.942280881916,1132.4935134619254,107.39500342117168,0.39954011726849115,4121.874279524266,2,1,1,0,2,1,5,1,1938,2,358.67040968235904,55.394496495538604,58.87040221958701,16.08805329757534,17.66256115860312,8.14347253104112,178.5307389625624,166.39245011515362,2,2007,70,RL,Grvl,IR2,Lvl,NoSeWa,CulDSac,Sev,Edwards,Feedr,TwnhsE,2Story,Flat,HdBoard,Plywood,Fa,TA,Slab,Ex,Fa,Av,LwQ,BLQ,GasW,Gd,Y,FuseF,Gd,Min1,Po,CarPort,RFn,TA,Ex,P,COD,Normal,744810.46
123,8455,9,2,1938,1982,89.64541453334512,309.7156628793516,128.42053719888122,426.2760537636397,864.4122538418726,995.412624840761,1387.699339487536,165.7320399583691,1715.7523411544219,1,0,3,1,2,2,8,2,1943,2,887.5336613944145,69.32900138236234,170.50438578935737,81.07926068553729,0.4506782387352264,17.873091253701936,30.162380849608606,609.4374219376086,1,2009,120,RH,Grvl,Reg,Lvl,AllPub,Corner,Mod,NAmes,Norm,1Fam,1Story,Hip,VinylSd,MetalSd,Gd,Fa,Slab,Gd,Gd,No,Rec,LwQ,GasA,Fa,N,SBrkr,Gd,Typ,Po,Attchd,Fin,Ex,Po,P,ConLD,Partial,688263.36
85,13665,3,6,1977,1977,142.44931376620255,237.59686672661462,44.7899976330253,102.97135470713019,385.35821906677006,2437.137590952527,886.9774997438677,47.07606239112499,2355.111908416335,2,0,2,1,2,1,6,2,2005,3,210.62529890356197,92.19056146810517,44.2443421470424,1.8657817574050677,6.499685591784584,66.06258736282612,26.88195004560297,281.4549693642429,3,2006,75,RL,Grvl,IR1,HLS,NoSeWa,Corner,Gtl,OldTown,Norm,1Fam,1.5Fin,Hip,VinylSd,Plywood,TA,Gd,PConc,Ex,Ex,No,Rec,LwQ,GasW,TA,N,FuseA,Fa,Min1,Fa,Detchd,RFn,Ex,Po,Y,WD,Abnorml,463456.33
90,6241,7,4,1957,1963,39.49885010254271,130.00018163278204,30.955637132741987,87.56869946791875,248.5245182334428,692.0801288801321,234.84416397668613,80.25129787788383,1948.0603110978348,1,1,1,0,5,1,9,1,1997,0,68.89242283245923,68.06044528529105,109.23393142380475,8.642467038901065,6.642560966177171,7.966481364235491,57.57962924621791,184.65127764995836,11,2010,20,RM,Grvl,IR1,HLS,AllPub,Corner,Sev,NAmes,Norm,1Fam,2Story,Flat,MetalSd,MetalSd,Ex,Fa,CBlock,Gd,TA,Gd,Rec,Rec,GasW,Fa,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,Po,Ex,P,ConLD,Family,632879.72
77,2046,9,2,1965,1965,49.65354436192177,422.0379693865179,187.81450594566613,137.75504999723154,747.6075253294155,805.8170639762732,434.18277326746016,35.883840153357056,1648.4791590734715,2,1,1,1,4,2,10,1,1989,2,385.4269907808827,24.558926786220624,149.19409126070104,162.21076400382356,57.11035935831043,10.038922414229393,14.8658695175555,62.73945894085712,11,2009,70,FV,Grvl,Reg,Bnk,NoSeWa,Inside,Sev,NAmes,Artery,TwnhsE,1.5Fin,Gable,MetalSd,MetalSd,Ex,Fa,CBlock,Gd,TA,Mn,BLQ,ALQ,GasW,Fa,Y,FuseA,Ex,Min2,Po,Attchd,Fin,Fa,Fa,P,New,Family,668570.56
58,10119,8,4,1964,2005,21.20016197112939,410.55317865198936,1.3564260808254551,195.0961008827758,607.0057056155906,1782.662078840127,269.969635025412,13.66065862779108,2255.1978417640207,1,0,3,1,2,1,8,0,1998,2,422.0443680611602,188.3081307687958,108.11806686706142,44.496720934072094,6.50359455734434,91.19327987874767,20.10186530476011,78.05146724538179,1,2010,180,FV,Pave,IR2,Bnk,NoSeWa,CulDSac,Gtl,Edwards,Norm,1Fam,1Story,Flat,MetalSd,Plywood,TA,TA,BrkTil,TA,Fa,No,Rec,Rec,Grav,Ex,Y,FuseF,Ex,Min2,Gd,CarPort,RFn,Fa,Ex,N,ConLD,Abnorml,689128.93
132,5137,3,8,1923,2005,40.08752119692255,197.93240686552713,34.79436799690311,123.82772570448411,356.5545005669143,796.9585888314559,897.8137248734912,65.34305883088412,1843.932542550831,0,0,1,0,5,1,4,0,1926,3,583.6127784828976,50.000903335170776,117.13028932633046,15.851570965036654,31.78732461308827,9.742951427086764,71.4523640366535,55.52708257400613,12,2007,20,FV,Grvl,Reg,Bnk,AllPub,Corner,Sev,OldTown,Artery,TwnhsE,2Story,Gable,VinylSd,Wd Sdng,TA,TA,CBlock,Ex,Gd,Av,ALQ,Unf,GasW,Ex,Y,SBrkr,Ex,Maj1,Gd,CarPort,Unf,Gd,TA,N,ConLD,Normal,462936.54
118,13613,8,3,2001,2001,187.69506026910352,202.749569855424,279.1651507066183,383.53986337143874,865.454583933481,1092.4130619304765,1291.2115848795422,1.7021297887427085,1748.5879926409464,0,0,3,0,4,1,5,2,1999,2,147.77020860113345,15.404878801979429,21.726901083869784,45.121241265615595,1.307877963186087,23.014101488843455,12.728892686979917,213.7409207025339,3,2009,20,FV,Grvl,Reg,Bnk,AllPub,FR2,Gtl,Somerst,Artery,1Fam,1Story,Gable,VinylSd,Plywood,Ex,TA,CBlock,Ex,Gd,No,LwQ,Rec,Grav,Ex,Y,FuseA,Ex,Typ,Fa,Attchd,Fin,Fa,TA,Y,WD,Partial,655440.07
104,26157,2,8,1962,2004,138.2394903016243,277.08939131105524,69.92905495553813,457.27704719529186,804.2954934618853,400.0,2500.0,49.010636352602376,1458.7143087578208,2,0,2,0,3,2,5,2,1995,0,262.06686376191465,99.27813177618182,52.08255134581235,14.38724535263778,36.18810336943723,106.80032474391653,57.5554990324672,109.22040327742741,6,2008,120,FV,Grvl,IR2,HLS,NoSeWa,Inside,Mod,NAmes,Norm,TwnhsE,1Story,Flat,MetalSd,Plywood,Ex,Gd,PConc,TA,Ex,Mn,LwQ,ALQ,GasA,TA,N,FuseA,Gd,Min1,Fa,CarPort,Unf,Gd,Ex,P,WD,Family,402205.1
80,6551,6,3,1979,1979,293.7346329472243,234.36022893690605,9.933940444396487,238.19411821016317,482.4882875914657,2370.0164672782457,739.9158419386151,64.6455780754366,1264.0789593909847,2,0,1,0,5,1,9,2,1977,0,720.2760641758039,197.34801196528375,14.257402399305548,31.723817899815657,2.30743668999159,18.41273171044175,92.37473281601392,65.93312162539264,8,2007,30,RM,Grvl,IR2,Bnk,AllPub,Inside,Gtl,Somerst,Artery,1Fam,1.5Fin,Gable,MetalSd,Wd Sdng,Gd,Gd,Slab,Ex,Ex,No,ALQ,LwQ,Grav,TA,N,FuseF,Gd,Min2,Gd,Detchd,RFn,Fa,TA,N,WD,Family,537592.04
122,2034,5,3,1997,1997,248.67283388355705,161.95551016359929,112.2842390921479,127.1268188753477,401.3665681310949,1694.4503750043978,110.69360221918804,23.929054357656103,1153.0953337338021,0,0,2,0,5,1,9,0,1995,2,391.80755185103055,33.24117988507678,37.53803987484283,18.00821684523417,55.35692248311371,135.53604334862231,23.840087704982597,653.3253802628365,2,2009,180,RM,Pave,Reg,HLS,NoSeWa,FR2,Mod,CollgCr,Norm,TwnhsE,2Story,Gable,HdBoard,MetalSd,Ex,Gd,CBlock,Fa,Gd,Av,Unf,BLQ,Grav,Fa,N,FuseF,Fa,Min2,Ex,Detchd,Unf,Po,TA,Y,COD,Normal,495149.31
94,5110,6,3,2002,2002,139.07437769345836,117.25905332723805,50.41590662367402,189.95541862821244,357.6303785791245,2043.169276367875,218.5610538374674,44.41508564514161,1750.702237877148,1,0,1,0,3,2,4,1,2000,1,229.88046076953435,60.3722809055157,19.64460151215986,43.68409499945934,17.725162451709515,7.324623391098237,29.541731004871938,384.64766530467136,5,2008,75,RL,Grvl,IR2,Bnk,AllPub,Inside,Sev,Edwards,Feedr,TwnhsE,1Story,Gable,MetalSd,Plywood,Gd,Ex,Slab,Fa,Gd,Gd,Rec,Unf,Grav,TA,N,FuseA,Fa,Min2,TA,Detchd,RFn,Po,Gd,N,COD,Partial,512685.24
84,16228,6,4,1974,1974,102.8570442835275,667.4649009875627,6.63105754550484,238.1500262440321,912.2459847770997,573.0944440118963,713.3689074134425,46.41537868732628,1675.7642501731775,0,1,1,1,1,1,9,1,1991,1,346.65859088888584,73.70235214874752,93.28998275872819,25.067236029716014,43.656188613823595,129.53632514744464,42.79794626182362,134.84963200775724,4,2009,120,FV,Pave,IR1,HLS,AllPub,CulDSac,Sev,Somerst,Norm,TwnhsE,1Story,Flat,Wd Sdng,Plywood,TA,Gd,CBlock,Gd,Fa,Av,ALQ,Unf,GasW,Gd,N,SBrkr,TA,Maj1,Po,BuiltIn,Fin,TA,Fa,P,WD,Partial,587747.58
85,9695,2,2,1987,1987,93.74411165550947,212.554597703817,94.48831270283274,183.91983948427824,490.96274989092797,2669.8150411046086,449.2026100626651,17.276837326690195,3579.2631185222795,2,0,2,0,3,2,7,2,1985,1,741.1172710162181,46.221385693863624,19.592431595398807,16.20651293135776,16.612992211509745,17.560132977909703,12.681184363784276,148.74367363739736,5,2006,80,RM,Pave,IR2,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Duplex,1.5Fin,Gable,MetalSd,Plywood,Ex,Fa,Slab,TA,Fa,Av,ALQ,GLQ,GasA,TA,N,FuseA,Fa,Min1,Ex,Attchd,Unf,Gd,Gd,N,WD,Family,566461.16
62,15706,6,6,1952,1975,9.739516213128073,408.9025038529754,82.23349896223873,207.57683853749333,698.7128413527075,1029.7184121126204,878.2738316012811,44.643035580487485,602.9408798836841,1,1,2,0,2,1,7,1,1969,2,567.3680235930437,76.08742601389388,19.999704315471337,31.63224251588193,9.851666778404471,0.4114247318116644,22.807942020861628,294.9026561587975,5,2006,160,RH,Grvl,IR2,Bnk,NoSeWa,CulDSac,Gtl,CollgCr,Artery,Duplex,2Story,Flat,VinylSd,Plywood,Ex,Ex,Slab,TA,TA,Gd,Rec,LwQ,GasW,Fa,N,FuseF,Gd,Min1,Gd,Attchd,Fin,TA,Po,Y,COD,Family,513452.68
49,2818,9,4,1981,1981,86.02743936128543,467.10424960639585,77.89127901289827,433.7349739179862,978.7305025372802,2147.3770049101076,648.0290300402518,25.17146456703174,4305.091049419734,1,0,2,1,4,2,11,0,1979,1,210.75770590232366,256.2026966452576,61.18494697127884,20.364150406109495,2.053359929565546,1.0089555270274073,4.04558571740374,113.2850619903109,6,2009,180,RH,Pave,IR1,HLS,NoSeWa,FR2,Sev,CollgCr,Feedr,TwnhsE,1Story,Hip,Wd Sdng,VinylSd,TA,Fa,PConc,TA,Ex,Gd,LwQ,LwQ,GasW,Ex,Y,FuseA,Fa,Min1,Po,Detchd,Fin,Po,Po,P,New,Abnorml,800000.0
95,11326,5,7,1935,1962,57.35926966040587,423.50540096904905,119.14083549045357,120.73114511263073,663.3773815721333,1349.727858879437,238.02806579507654,24.812796210521903,763.1956075079103,0,0,2,0,1,1,3,2,1953,2,423.64603920972104,77.49838813995419,8.898342835373276,20.341497016282773,0.972944040848856,13.200616529842467,9.26020020930941,21.700514136292796,8,2008,160,RL,Grvl,Reg,Lvl,AllPub,CulDSac,Sev,Somerst,Feedr,1Fam,2Story,Hip,VinylSd,VinylSd,TA,Gd,PConc,Fa,TA,Mn,LwQ,GLQ,GasW,Ex,N,FuseA,Ex,Typ,Ex,BuiltIn,Fin,Po,Gd,N,ConLD,Partial,533420.94
128,13483,4,5,1979,1979,41.72394263726477,484.8704092162216,18.643832469826357,728.4609297816983,1231.9751714677463,1741.0361119385564,394.0397591661627,46.05262436453954,1636.584854108433,0,1,3,0,3,2,10,0,2005,1,328.9093293625991,117.4067174113548,249.79726799469373,4.85613760188532,9.546812750027152,29.245339876189398,34.15247233709436,58.506336290963866,2,2006,80,FV,Grvl,IR1,Bnk,NoSeWa,Corner,Mod,Somerst,Artery,Duplex,1.5Fin,Flat,MetalSd,Plywood,TA,Gd,BrkTil,Fa,Ex,Mn,Rec,GLQ,GasA,Ex,N,FuseF,Ex,Min1,Po,Detchd,Fin,Ex,TA,P,COD,Normal,551182.37
46,14077,9,5,1909,1957,123.72011105101794,420.15833248228927,103.20123432975558,243.19078460908773,766.5503514211325,1413.1722939307438,908.3988759673906,18.361485070192465,2097.325292748506,2,1,1,0,3,2,8,2,2003,0,533.6417868153114,53.22847791272938,51.14229535299578,42.710000613651246,20.813845269846,19.566234514270633,53.632212223755815,151.4805641369162,9,2009,60,RL,Grvl,IR1,Lvl,NoSeWa,FR2,Gtl,NAmes,Artery,Duplex,2Story,Hip,VinylSd,Wd Sdng,Gd,Gd,PConc,Ex,TA,Mn,ALQ,GLQ,GasW,TA,Y,FuseA,Fa,Min1,TA,Attchd,Fin,Po,Fa,P,WD,Abnorml,676917.4
125,17432,2,5,2001,2009,78.20995230042013,182.7406953075536,87.81416020582077,176.7368497629396,447.291705276314,792.9232896652113,675.4513559709115,23.76827330993078,884.9566708812782,0,0,3,1,2,1,5,1,1999,2,292.0954627202403,97.14241411589248,146.64698090629963,203.62726843751648,4.211727420660427,74.44402640111525,54.05633301731401,149.56314138529993,2,2006,60,RM,Grvl,Reg,HLS,AllPub,Corner,Gtl,Edwards,Artery,Duplex,1.5Fin,Gable,MetalSd,MetalSd,Ex,Ex,BrkTil,Gd,Gd,Gd,ALQ,BLQ,GasW,Gd,Y,FuseF,Gd,Min2,Ex,Attchd,Fin,Po,TA,Y,WD,Abnorml,356742.74
122,23856,5,3,1927,1973,98.12762559450701,244.9119202157135,184.67241046259406,118.38478004225341,547.9691107205609,400.0,885.2644483086038,137.90823343899558,750.5104701332301,0,0,1,1,4,2,5,0,1989,2,318.4960990004244,107.66380777588405,21.10603709326656,33.04996512649191,102.07160116147283,36.264399771703395,17.05282672925224,9.099532092459947,8,2006,60,RM,Pave,Reg,HLS,NoSeWa,Inside,Mod,OldTown,Feedr,TwnhsE,1.5Fin,Flat,Wd Sdng,VinylSd,Ex,Gd,CBlock,Gd,Gd,Gd,Rec,Rec,GasA,Ex,Y,FuseA,Fa,Min2,Ex,Detchd,RFn,Fa,TA,P,New,Partial,445857.4
