Borrower_ID,Age,Monthly_Income,Loan_Amount,Loan_Term_Months,Interest_Rate,Credit_Score,Days_Past_Due,Missed_Payments,Employment_Status,Loan_Purpose,Education_Level,Marital_Status,Num_Dependents,Residence_Type,Years_At_Current_Address,Outstanding_Balance,Collateral_Value,Debt_to_Income_Ratio,Collection_Attempts,Previous_Defaults,Recovery_Status,Estimated_EMI,Loan_to_Income_Ratio,EMI_to_Income_Ratio,Debt_Burden_Score,Collateral_Coverage_Ratio,Recovery_Efficiency_Ratio,Risk_Exposure_Score,Missed_Payment_Severity,Delinquency_Score,Recovery_Difficulty_Index,Collection_Intensity_Score,Behavioral_Risk_Score
BOR0035,65,4082,29818,24,11.108772029268188,841,340,4,Self-Employed,Education,Bachelor's,Single,1,Rented,13.13150474800624,31932,54943,0.5831197494230326,14,2,1,1391.2588089018022,0.6087293810223746,0.34082773368490993,0.47408834234087743,1.7205711959415024,0.6914263491215333,16.132941845910466,0.9719804128805861,0.6,0.50503870607649,0.03783783783783784,0.6
BOR0036,24,12966,40358,24,14.7542598051061,613,20,17,Retired,Business,High School,Widowed,1,Rented,8.302623958539257,30554,75839,0.5519171109248662,12,3,1,1952.1154404336726,0.25938351586199804,0.1505564893131014,0.371304831199572,2.4820487645229914,0.7944064321022319,18.96159659686384,2.156536726720758,0.3990555555555555,0.45007803270042196,0.24,0.7333333333333334
BOR0037,58,13088,9324,36,7.804412822107616,416,299,18,Unemployed,Medical,Master's,Divorced,1,Owned,16.745135516713223,36701,25345,0.7244412021467859,8,1,1,291.3397147113595,0.05936735941320293,0.022260063776845924,0.4084596898803129,0.6905618222440194,1.1678429476078467,13.597051309412755,2.8518912373281005,0.9420000000000001,0.7439666114311265,0.0243161094224924,0.8666666666666667
BOR0038,28,14377,15787,60,3.701433894913716,318,138,22,Employed,Home Improvement,Master's,Married,4,Mortgage,10.410070062365998,3385,50390,0.6130142170187289,1,1,0,288.61940760907254,0.09150610929493867,0.020075078779235762,0.346191604810957,14.881866509155346,4.06370228134654,10.113882083944038,1.809307108814587,0.8743333333333334,0.47187223809807305,0.005952380952380952,0.7966666666666666
BOR0039,42,10967,14111,60,6.307693839857304,731,358,22,Self-Employed,Debt Consolidation,Bachelor's,Divorced,3,Owned,27.986030703798992,33690,59557,0.4558488412952146,1,2,0,274.8286354525555,0.10722318470563205,0.025059600205393953,0.2619936828047953,1.767742126977531,5.212493009179211,15.515587106942162,2.157218209112369,0.8,0.5923250724783684,0.002577319587628866,0.9333333333333333
BOR0040,30,8748,43110,24,13.055087700429612,649,323,5,Unemployed,Education,High School,Married,2,Owned,27.67935418810716,10367,65054,0.7942822547245413,8,0,1,2050.643622617031,0.41066529492455417,0.23441285123651473,0.5423410231549294,6.274498456790123,1.027386602065784,10.453615415891424,1.2043215657900685,0.6505,0.32061255668280686,0.0226628895184136,0.5083333333333333
BOR0041,60,11817,21389,36,13.443001613482922,482,91,21,Self-Employed,Business,PhD,Widowed,4,Owned,15.071154599162863,33332,1906,0.2862755693185094,11,0,2,725.2523297894404,0.15083495529040084,0.06137364219255652,0.18506970211183063,0.057180571805718054,0.86785859802101,11.814298120268695,2.637710003278607,0.6617777777777778,0.6477999999999999,0.09090909090909091,0.6516666666666666
BOR0042,39,13261,46427,36,12.337972692023598,412,279,17,Self-Employed,Business,Master's,Divorced,1,Mortgage,9.836519820547757,19642,40167,0.6832341618498178,12,0,0,1549.5458539482554,0.29175150189779553,0.11684984947954569,0.42836122128319537,2.0448505829048518,0.7604212553641752,11.10514368853955,2.6608728681632567,0.9440000000000001,0.5103743377813185,0.038834951456310676,0.8
BOR0043,25,2417,19043,48,4.80076291938059,482,124,5,Employed,Home Improvement,Bachelor's,Single,4,Owned,22.113972418699174,10789,7961,0.3987532605357435,2,2,1,436.8302395947578,0.6565646117776859,0.18073241191342898,0.30064387865570197,0.7378127896200185,3.0954583527507267,13.625068672044701,0.5029493476356565,0.5784444444444444,0.6307691032403918,0.012987012987012988,0.5483333333333333
BOR0044,46,10306,33746,60,12.648369274508635,780,110,3,Unemployed,Home Improvement,Master's,Single,0,Owned,1.1013883044919992,35268,26140,0.554114597213014,8,2,1,761.7644963386196,0.2728669383530629,0.07391466100704634,0.3380246259203286,0.7411607927641839,1.1634177411244966,16.513196026661078,0.2354765100656167,0.3805555555555556,0.5406837120487612,0.05714285714285714,0.44166666666666665
BOR0045,35,10808,27350,12,14.0647946654253,445,353,11,Retired,Education,Master's,Divorced,1,Owned,14.243070181309538,20950,58701,0.6090879293167039,12,0,1,2456.5115664960176,0.21087774488033556,0.22728641436861746,0.437277247590065,2.8018233019903587,0.7653801274544624,11.34938052028174,5.3801888370392925,0.9024999999999999,0.46858028261388024,0.031331592689295036,0.7583333333333333
BOR0046,30,5974,46605,60,10.407009739281715,412,138,18,Self-Employed,Debt Consolidation,PhD,Widowed,0,Owned,10.089701828110003,25563,77567,0.5436278610332355,14,0,0,999.5776870916982,0.6501088048208905,0.1673213403233509,0.3742899267137874,3.0342278203723985,0.6765960260513448,11.205141605671521,1.4803421799392074,0.8273333333333334,0.4299723004331683,0.08333333333333333,0.73
BOR0047,47,5267,5117,60,14.320066597887743,775,272,1,Self-Employed,Business,High School,Widowed,1,Rented,27.61607655307664,39649,28561,0.1983551121760153,4,1,2,119.9144287621578,0.08096006581861907,0.0227671214661397,0.1193405163565713,0.720327868852459,2.1175692454125987,14.524839429672427,0.093491196586416,0.525,0.5458469586630255,0.013245033112582781,0.4083333333333333
BOR0048,23,2825,23935,48,13.00864716268659,602,98,16,Retired,Education,PhD,Single,4,Owned,0.3600908181804763,36404,50568,0.410065707523553,5,2,1,642.2188433327051,0.706047197640118,0.22733410383458588,0.32783648586351777,1.3890399670374949,1.7504102344714685,16.616165376496703,1.5317066167115299,0.6212222222222222,0.5388636770221545,0.0390625,0.7966666666666666
BOR0049,41,9668,18234,12,11.170172445395432,417,251,10,Unemployed,Medical,High School,Divorced,3,Rented,16.584446271550473,32991,73302,0.4930068645531871,1,2,1,1612.998882557835,0.15716797683078196,0.16683894110031391,0.3462312989993942,2.2218113482056254,5.202010193408343,16.192634367389488,4.607857572926187,0.8915,0.6132694345160953,0.0035587188612099642,0.85
BOR0050,49,7745,43328,48,10.137630222185104,460,337,10,Self-Employed,Medical,Master's,Widowed,2,Owned,22.21990743199878,39065,29504,0.6943306314250177,7,0,0,1101.7760415713642,0.4661932429524424,0.14225642886654152,0.4458972402737035,0.7552347309681052,1.3216259753081145,11.644860236841588,1.2131345615589624,0.87,0.6232022538552787,0.01907356948228883,0.7166666666666667
BOR0051,68,11708,5846,12,7.50859717328266,700,103,20,Self-Employed,Education,Bachelor's,Single,0,Mortgage,14.550539625721235,350,37146,0.4105520241590007,10,0,0,507.20706317099155,0.04160972554378772,0.04332140956363098,0.24529824759108435,105.82905982905983,0.532798747587806,6.300849052173164,7.740651498568954,0.586111111111111,0.26539885455083856,0.07518796992481203,0.6716666666666666
BOR0052,28,13338,15954,24,5.33180562029226,497,213,15,Self-Employed,Business,PhD,Married,4,Rented,2.56209090488165,18312,40297,0.7431231133629761,8,3,0,702.2972923486014,0.09967761283550758,0.052653868072319795,0.43241195298218077,2.2004586905476984,1.0905962743489943,16.541924368311822,3.353735009388657,0.9015000000000001,0.6851975569507172,0.03292181069958848,1.0
BOR0053,65,2412,18703,12,10.45697011094122,559,248,1,Unemployed,Education,High School,Divorced,3,Rented,29.173841700837063,24127,68607,0.4082619561176475,1,2,1,1648.2684962582114,0.6461788280818132,0.6833617314503364,0.5320568550173576,2.8434598806366047,5.045564135403842,15.604896353119894,0.45978774137205897,0.5955,0.4628496258939677,0.0035971223021582736,0.475
BOR0054,29,9543,27700,48,7.158282866608374,346,151,1,Unemployed,Business,Master's,Married,4,Rented,15.540312941282938,28853,16939,0.4841459014841082,5,3,0,665.347030047196,0.24188759649306646,0.06972095043981934,0.29765467351417824,0.5870589866223054,1.7116673184176197,17.608255745330336,0.10466417751763075,0.6214444444444445,0.7777181818181818,0.027624309392265192,0.49333333333333335
BOR0055,68,9587,37043,60,13.464044676567925,698,249,22,Retired,Home Improvement,High School,Married,0,Rented,18.42558732957034,37500,50715,0.6573999780599608,5,1,1,851.6677177469236,0.32198984736274816,0.08883568558954037,0.40154604644827163,1.3523639369616811,1.7553538130449367,14.340207129589047,2.0245356698828236,0.801,0.5565137011331073,0.017921146953405017,0.8666666666666667
BOR0056,56,2728,11469,12,14.923374779624227,377,274,7,Unemployed,Education,High School,Widowed,2,Mortgage,7.09829348122522,33785,44460,0.5081473790955006,7,3,0,1034.7579430874432,0.3503482404692082,0.3793100964396786,0.4501706019003807,1.3159296750133191,1.3034752243103342,19.174370780079524,3.276449806972167,0.8365,0.7094039028586852,0.023026315789473683,0.7916666666666667
BOR0057,35,13540,35105,12,12.152919270079083,423,164,12,Unemployed,Business,High School,Widowed,4,Owned,14.504942553204112,18610,66576,0.7721526506679773,9,0,1,3121.5485898260404,0.21605736090595765,0.23054273189261745,0.5284281872190654,3.577239267100102,0.9831508082743964,11.026323323071137,5.10594547390058,0.8940555555555556,0.4512420434234045,0.04639175257731959,0.7733333333333333
BOR0058,38,9164,47101,36,4.540539495801084,374,340,9,Employed,Education,Master's,Widowed,1,Rented,12.874484758749656,23590,68222,0.5622350813598893,11,2,1,1401.9634071345324,0.4283155099665357,0.15298596760525235,0.3780729801703027,2.891865541943962,0.8390517135289026,14.736106357927554,1.4579706193208792,0.888,0.5934444512847573,0.02972972972972973,0.8083333333333333
BOR0059,57,13000,31386,60,6.819884348602338,436,7,7,Retired,Education,Bachelor's,Divorced,3,Mortgage,2.246875260059512,29443,12666,0.4658966178473207,4,2,0,618.8167328938965,0.2011923076923077,0.047601287145684346,0.2776637190315844,0.4301725309061269,2.058049086635719,15.388839579272194,0.24260151319598083,0.3264444444444445,0.6302333333333333,0.10810810810810811,0.43666666666666665
BOR0060,61,10867,41976,24,4.754760765306122,699,283,3,Self-Employed,Business,Bachelor's,Married,4,Rented,3.1848106064240165,7170,62119,0.1165143774465571,8,3,0,1836.9387440105074,0.32189196650409496,0.16903825747773144,0.14015012346058556,8.662529633245015,0.9864222659869528,14.879869702132954,0.7061217797701508,0.5754999999999999,0.479173808757244,0.025559105431309903,0.625
BOR0061,25,13657,44051,48,10.980883949604731,804,4,14,Unemployed,Business,Bachelor's,Divorced,3,Owned,25.12417558856324,13303,35321,0.3896130283062309,0,3,0,1138.1122197745551,0.26879378096702544,0.08333544847144725,0.25178811738057827,2.6549158147925436,9.495820020872763,16.861671995885015,0.46941939112661263,0.3111111111111111,0.40590864050733255,0.0,0.7066666666666668
BOR0062,23,7988,7048,24,12.299694942391524,799,144,0,Self-Employed,Debt Consolidation,High School,Widowed,1,Rented,7.194598566197707,6207,1779,0.3094738934821123,8,1,1,332.7610981404841,0.07352695710232014,0.04165762370311518,0.1889565720815636,0.2865657216494845,0.9703993402070061,11.769359386774836,0.0,0.4,0.5966666666666667,0.04597701149425287,0.30666666666666664
BOR0063,27,4504,44001,60,14.145260555128186,437,100,10,Self-Employed,Education,Master's,Married,2,Mortgage,5.8487481449589165,12316,13186,0.6236739675212425,9,1,1,1027.1429711874505,0.8141096802841918,0.22805128134712488,0.44564375874288964,1.07055289437363,0.9418735700941484,12.901248488206244,0.7691867528068765,0.6592777777777779,0.5267829345820378,0.06923076923076923,0.65
BOR0064,63,4967,17941,12,8.538981983737859,349,163,6,Employed,Medical,High School,Divorced,2,Owned,15.147343537504176,35187,16459,0.245794372607482,6,0,0,1565.1339800930755,0.3010032883699081,0.31510649891143055,0.27698482944425884,0.46774468568830285,1.4954943420532236,11.362360341422772,2.5499332139120994,0.7782777777777777,0.700225,0.031088082901554404,0.5216666666666667
BOR0065,25,4786,47533,12,13.86581997026711,553,146,16,Unemployed,Education,Bachelor's,Divorced,1,Mortgage,23.062413940875388,6240,5057,0.2436540611058502,3,0,1,4264.850682058193,0.8276396434043739,0.8911096285119501,0.5350090664385951,0.8102868130107355,2.1847239262335107,9.950615250769602,6.653910115704981,0.7790555555555555,0.5664706109134044,0.017045454545454544,0.7433333333333333
BOR0066,50,3122,6828,60,13.595748328975269,725,63,19,Retired,Education,Bachelor's,Single,3,Owned,1.8583955573696376,1893,60663,0.2326633302661637,2,0,0,157.44824182669723,0.18225496476617553,0.05043185196242704,0.15065916502948223,32.02903907074974,2.5154820912486744,8.572442116905865,1.316979643063896,0.475,0.2192108169589872,0.021505376344086023,0.605
BOR0067,39,6079,6917,12,7.147750742802083,846,90,23,Unemployed,Business,Master's,Divorced,4,Owned,17.304237589147675,13753,18733,0.1879309292093651,13,3,0,598.9767441962072,0.09482096836102429,0.09853211781480624,0.14770146408181362,1.3620037807183365,0.6806489264199843,16.336320338554568,8.645814054157295,0.55,0.5759709618874773,0.10833333333333334,0.8500000000000001
BOR0068,47,3571,25618,12,13.492357193716566,601,116,17,Self-Employed,Education,High School,Widowed,1,Owned,3.576313285217201,38090,19157,0.3177049025696212,9,3,0,2294.051847744704,0.5978250723420144,0.6424116067613285,0.4638229194558895,0.5029272006510724,1.0547733312737901,19.153393867413012,6.746413074296822,0.6717222222222222,0.8502105882659985,0.06164383561643835,0.8933333333333333
BOR0069,65,7073,37254,12,7.820230896639854,648,353,21,Retired,Education,PhD,Divorced,0,Rented,1.0938315247685535,11232,35030,0.7201454801103976,14,2,2,3237.5712412941184,0.4389226636505019,0.4577366381018123,0.6020615012065342,3.118490162912846,0.6217740769094379,14.078363152963346,10.271269597984105,0.8260000000000001,0.5611436356370072,0.03655352480417755,0.9333333333333333
BOR0070,55,7104,44756,48,6.913996657443229,348,266,21,Unemployed,Medical,PhD,Married,3,Mortgage,1.5823185648665217,17509,19613,0.6424499306141686,10,0,0,1069.9532107128275,0.5250093843843844,0.1506127830395309,0.42112321420558163,1.1201027984009138,0.8882297659345362,10.446061364878325,2.4444212880501093,0.9760000000000001,0.5954187723054961,0.033783783783783786,0.8
