Borrower_ID,Age,Monthly_Income,Loan_Amount,Loan_Term_Months,Interest_Rate,Credit_Score,Days_Past_Due,Missed_Payments,Employment_Status,Loan_Purpose,Education_Level,Marital_Status,Num_Dependents,Residence_Type,Years_At_Current_Address,Outstanding_Balance,Collateral_Value,Debt_to_Income_Ratio,Collection_Attempts,Previous_Defaults,Recovery_Status,Estimated_EMI,Loan_to_Income_Ratio,EMI_to_Income_Ratio,Debt_Burden_Score,Collateral_Coverage_Ratio,Recovery_Efficiency_Ratio,Risk_Exposure_Score,Missed_Payment_Severity,Delinquency_Score,Recovery_Difficulty_Index,Collection_Intensity_Score,Behavioral_Risk_Score,segment,segment_name,prob_fully_recovered,prob_partially_recovered,prob_written_off,recovery_probability,risk_score,expected_recovery_value,risk_tier,recommended_strategy,priority_score,priority_rank
BOR0467,58,8809,31212,48,4.718203194422669,739,361,23,Unemployed,Medical,Master's,Divorced,0,Mortgage,18.29045724827332,34714,11017,0.6652753787785952,0,2,2,714.8128791186995,0.29526620501759565,0.08114574629568617,0.4024170441612862,0.3173556099668731,10.454927149187373,15.327496598280852,2.8230795181665154,0.8,0.8433333333333333,0.0,0.9333333333333333,0,Legal Escalation Candidate Segment,0.4088323351961557,0.3891655640205417,0.2020021007833023,0.6423316736084808,0.5324844121544875,22297.9017176448,High,Intensive collections with senior agent intervention,12.334939198227271,11
BOR0322,67,14775,24694,12,11.829650901281603,744,358,20,Employed,Business,PhD,Married,0,Rented,4.843430580987631,21400,21323,0.6548848009945646,3,3,0,2192.0645884878395,0.139278059785674,0.1483630855152514,0.4269500290288737,0.9963553104995093,2.492798232222535,17.841200388913794,9.80553731414713,0.8,0.7356237103732883,0.007731958762886598,1.0,0,Legal Escalation Candidate Segment,0.399592351773231,0.34489782856325135,0.2555098196635174,0.6065310489111818,0.5657548182077319,12979.764446699292,Very High,Legal notice preparation and debt recovery escalation,12.292807160169113,12
BOR0253,39,9102,41368,60,10.015616664971311,490,289,21,Self-Employed,Education,Master's,Divorced,4,Rented,14.148790955857852,19643,9719,0.4124482056009482,1,3,1,879.2656525615611,0.37874459825679335,0.09660136811267425,0.27031712873122493,0.49475666870291185,4.942763613579568,17.40099798326842,1.9844583230431818,0.905,0.9572499999999999,0.003134796238244514,1.0,0,Legal Escalation Candidate Segment,0.4348623791785455,0.40123676060244323,0.16390086021901143,0.6756044355400114,0.5418571168989926,13270.897927312444,Very High,Legal notice preparation and debt recovery escalation,12.20244642018681,13
BOR0027,65,6380,11767,60,11.928337560925431,458,341,8,Retired,Medical,PhD,Divorced,3,Mortgage,10.033275813543122,36303,28,0.5742243479679814,8,1,1,261.3244925301122,0.15369644723092998,0.04095995180722762,0.33425536969564223,0.0007712648743940062,1.166631467446625,14.102545035336872,0.7779747649416806,0.821,0.7861166666666666,0.0215633423180593,0.7,0,Legal Escalation Candidate Segment,0.39911944533114607,0.36126112438178726,0.23961943028706661,0.6158761199602184,0.5188805220258581,22358.150782915807,High,Intensive collections with senior agent intervention,12.06262320189165,14
BOR0266,47,7713,15395,60,3.763278987225383,509,273,16,Retired,Education,Bachelor's,Divorced,0,Rented,1.50526050959922,38259,46157,0.1399663323569187,0,3,0,281.8807344122877,0.16633173430139592,0.036546186232631624,0.09342726660098952,1.2064035546262415,10.552160242994244,17.51882795538752,1.4968341617034855,0.8955000000000001,0.7480273202911738,0.0,1.0,0,Legal Escalation Candidate Segment,0.42144918801307885,0.3939600022100448,0.18459080977687636,0.6578251893391057,0.5515136269295813,25167.733918924845,Very High,Legal notice preparation and debt recovery escalation,12.050753425284778,15
BOR0014,45,4427,20913,48,11.388628963804315,356,284,11,Self-Employed,Business,High School,Married,3,Rented,11.392122144649464,37545,69211,0.6939375469536179,0,3,1,544.4628055499742,0.3936638807318726,0.12298685465325823,0.43700973541845606,1.8433654716880628,10.533322126884308,18.772676962363942,1.2953621038115657,0.947,0.7210811535571866,0.0,0.9583333333333333,0,Legal Escalation Candidate Segment,0.41460067596936295,0.3989478268639735,0.1864514971666634,0.6539693720877471,0.5580699081429643,24553.280075034465,Very High,Legal notice preparation and debt recovery escalation,12.00342847375756,16
BOR0411,43,11911,40796,60,6.49820294907904,383,174,17,Retired,Medical,Bachelor's,Widowed,1,Owned,20.306168274827293,37755,3293,0.7406169965821885,9,1,2,798.1862437364139,0.2854224386421515,0.06701252990818687,0.4374949865788878,0.0872179256277148,1.0538899682444836,13.468486526891935,1.4633560259449958,0.9418333333333333,0.8404916666666666,0.04411764705882353,0.8566666666666667,0,Legal Escalation Candidate Segment,0.4286519173741788,0.41639662197198435,0.15495146065383686,0.6784898905573694,0.5258482378043765,25616.385817993483,High,Intensive collections with senior agent intervention,11.780216749051988,17
BOR0187,27,11086,44666,24,10.920833131545743,582,258,23,Employed,Education,PhD,Single,0,Owned,26.086010154449397,30725,12879,0.2543065194248298,10,2,1,2080.1443781594776,0.3357538035961272,0.1876370537758865,0.2243052598828053,0.4191564147627416,0.9393513164264186,16.04581911566982,5.325293559128723,0.859,0.8698833333333333,0.034722222222222224,0.9333333333333333,0,Legal Escalation Candidate Segment,0.43496708760524894,0.4038685214578339,0.16116439093691692,0.6772882004799493,0.521562669688033,20809.67995974644,High,Intensive collections with senior agent intervention,11.701336071769177,18
BOR0358,42,8241,34378,36,13.385000163939877,561,309,15,Employed,Medical,PhD,Divorced,4,Mortgage,7.148690116592747,34929,9677,0.6958828171534422,8,1,2,1164.7160185774637,0.34763175989968853,0.141331879453642,0.44633489518853214,0.2770397938734612,1.1623445930889864,14.23358372281853,2.3902384572829964,0.8695,0.8079416666666667,0.02359882005899705,0.8666666666666667,0,Legal Escalation Candidate Segment,0.4244690668325254,0.39493162435811635,0.18059930880935823,0.6614280414473952,0.5239717730591932,23103.020059716066,High,Intensive collections with senior agent intervention,11.69963301415289,19
BOR0068,47,3571,25618,12,13.492357193716566,601,116,17,Self-Employed,Education,High School,Widowed,1,Owned,3.576313285217201,38090,19157,0.3177049025696212,9,3,0,2294.051847744704,0.5978250723420144,0.6424116067613285,0.4638229194558895,0.5029272006510724,1.0547733312737901,19.153393867413012,6.746413074296822,0.6717222222222222,0.8502105882659985,0.06164383561643835,0.8933333333333333,0,Legal Escalation Candidate Segment,0.42493697144779824,0.37323220170883703,0.20183082684336473,0.6488762924731004,0.49657485433692916,24715.697980300396,Medium,Personalized follow-up plus flexible settlement options,11.646846880947013,20
BOR0125,65,11348,34287,12,4.917060522979909,342,324,19,Retired,Debt Consolidation,Bachelor's,Widowed,0,Mortgage,19.460488600720936,16532,48893,0.4143583748732794,14,3,0,2933.920706006994,0.25178445541064504,0.2585407742339614,0.34424045458558633,2.9572975261598016,0.6475409108367564,16.30514134400772,9.157723205355417,0.9790000000000001,0.6997208594101527,0.03954802259887006,1.0,0,Legal Escalation Candidate Segment,0.4096932200550012,0.37861331266790194,0.21169346727709648,0.6368612076557423,0.5818402150237676,10528.589484964732,Very High,Legal notice preparation and debt recovery escalation,11.63945315028206,21
BOR0056,56,2728,11469,12,14.923374779624227,377,274,7,Unemployed,Education,High School,Widowed,2,Mortgage,7.09829348122522,33785,44460,0.5081473790955006,7,3,0,1034.7579430874432,0.3503482404692082,0.3793100964396786,0.4501706019003807,1.3159296750133191,1.3034752243103342,19.174370780079524,3.276449806972167,0.8365,0.7094039028586852,0.023026315789473683,0.7916666666666667,0,Legal Escalation Candidate Segment,0.4095565560466775,0.35960925289008105,0.23083419106324152,0.6253221077807262,0.529590629942528,21126.507411371833,High,Personalized follow-up plus flexible settlement options,11.619228791556608,22
BOR0313,29,7997,31399,36,11.453607639047172,731,200,22,Self-Employed,Business,Bachelor's,Divorced,0,Mortgage,28.996753181416324,30544,7847,0.4918022051498194,4,3,0,1034.7209788519274,0.32719561502230005,0.12938864309765255,0.32871610222634434,0.2568996562448846,2.065391257016773,18.41562454245327,3.2409085549249905,0.8,0.9099999999999999,0.017391304347826087,1.0,0,Legal Escalation Candidate Segment,0.4370513037358116,0.41725912771199825,0.1456895685521898,0.6874067803630105,0.5131855927640432,20996.152699407794,High,Intensive collections with senior agent intervention,11.597039067239395,23
BOR0356,56,8949,20358,60,12.82288817184206,561,148,17,Self-Employed,Home Improvement,Bachelor's,Married,2,Mortgage,10.26208303972666,23840,2523,0.2590453744824031,14,3,0,461.36339024068786,0.18957425410660408,0.05155474245621722,0.16567459007061947,0.10582609789857808,0.671944137773886,18.19456279530911,1.4177847866845468,0.780611111111111,0.9012749999999998,0.07865168539325842,0.9466666666666665,0,Legal Escalation Candidate Segment,0.4302798453227858,0.3988459677447537,0.17087418693246056,0.669587425969638,0.5128903953419575,15962.964235116171,High,Intensive collections with senior agent intervention,11.508114230454611,24
BOR0394,28,5818,44952,24,14.336626981241718,408,227,22,Retired,Education,PhD,Single,4,Rented,11.588631154366356,37260,63230,0.6349761186485768,9,2,1,2165.430605881349,0.6438638707459609,0.3721950164801219,0.5167246226727721,1.6969485521054186,1.052570248222807,16.84862645796457,4.976900159874904,0.9460000000000001,0.6621552197498063,0.03501945525291829,0.9333333333333333,0,Legal Escalation Candidate Segment,0.41834300163007004,0.39411320085640794,0.1875437975135222,0.6548109221439148,0.5535729006064555,24398.254959082264,Very High,Legal notice preparation and debt recovery escalation,11.501305126482878,25
BOR0380,38,2137,41801,48,14.86516561650151,643,279,21,Retired,Education,Master's,Widowed,0,Owned,29.002026826053243,16363,9505,0.1121016313343542,8,2,0,1160.498070570719,1.6300499142099516,0.5430501032151235,0.30602844368070037,0.5808482033732584,1.0780932310054765,15.603255048713631,2.4652204513865468,0.8285,0.80739176485027,0.025889967637540454,0.9333333333333333,0,Legal Escalation Candidate Segment,0.4029236277023595,0.39242948356374724,0.20464688873389347,0.6383813178406078,0.5407521434036049,10445.833503825865,High,Intensive collections with senior agent intervention,11.42376184612625,26
BOR0238,50,2667,16694,36,4.225753880410227,374,147,21,Employed,Medical,PhD,Married,4,Owned,26.332482145878743,20171,29086,0.4063524118603214,13,3,0,494.55166862683217,0.5216222972128484,0.18543369652299668,0.3069389899585253,1.4418996628990681,0.7080036273711868,16.529455446073246,2.9150404930290668,0.8713333333333333,0.7134574792862791,0.07344632768361582,0.9450000000000001,0,Legal Escalation Candidate Segment,0.41131183409626576,0.3751294040205494,0.21355876188318462,0.6363894765085953,0.5523635069360797,12836.612130654878,Very High,Legal notice preparation and debt recovery escalation,11.384727460119175,27
BOR0431,68,8981,7711,24,7.969507184243241,380,306,14,Retired,Debt Consolidation,High School,Single,1,Rented,6.406285634710241,20648,76669,0.3188993065990206,6,2,0,348.6404155243548,0.07154919645176855,0.038819776809303506,0.19286351819364791,3.712964308198944,1.4193460244380678,15.018116896684319,3.340661186092531,0.9600000000000001,0.6124625885831051,0.017857142857142856,0.9333333333333333,0,Legal Escalation Candidate Segment,0.3974424605059712,0.3749608512695016,0.22759668822452683,0.6224189712676722,0.5774276686760131,12851.706918734895,Very High,Legal notice preparation and debt recovery escalation,11.356101646449403,28
BOR0087,47,3365,31614,60,9.73718214726699,519,303,21,Self-Employed,Business,Bachelor's,Married,2,Owned,22.99787834136155,20689,25988,0.1528732884098353,1,3,1,667.6231480064856,0.7829123328380386,0.19840212422183823,0.17336126452523665,1.256065732237796,4.968702885369795,17.44804651415924,2.0009596954921776,0.8905000000000001,0.7400368242333295,0.003003003003003003,1.0,0,Legal Escalation Candidate Segment,0.41874392985540865,0.3960219018194717,0.18523416832511921,0.6563570709470916,0.5514679038843905,13579.371440824378,Very High,Legal notice preparation and debt recovery escalation,11.302014675930218,29
BOR0443,58,7240,43890,24,9.756190660601645,804,156,20,Self-Employed,Education,PhD,Married,0,Mortgage,8.003836483014926,38169,41111,0.3872049620607626,10,3,0,2020.3654373819015,0.5051795580110497,0.2790559996383842,0.33853792897069235,1.077050039297878,0.9590731950672069,18.5265028001273,4.21353817112359,0.7333333333333334,0.6924726357267952,0.053763440860215055,0.96,0,Legal Escalation Candidate Segment,0.4172975807613773,0.37539481783065315,0.20730760140796956,0.6425344714597692,0.5230192602178168,24524.89824114793,High,Personalized follow-up plus flexible settlement options,11.274614749345428,30
BOR0256,32,8132,9971,24,8.067555940435927,442,353,15,Self-Employed,Education,PhD,Single,1,Mortgage,9.981884295311373,37999,75164,0.2485942606998601,4,2,0,451.2686026780718,0.1021786358419413,0.055492941795139174,0.16169866719273568,1.978,2.1090682877417044,15.954529861740825,3.6683105707086088,0.929,0.6398530333266813,0.010443864229765013,0.9333333333333333,0,Legal Escalation Candidate Segment,0.4215585647949688,0.39205071456735047,0.18639072063768064,0.656788993535379,0.5488871542020036,24957.32496535087,Very High,Legal notice preparation and debt recovery escalation,11.260985042644656,31
BOR0195,45,3214,15789,48,11.200430085540562,843,357,23,Unemployed,Home Improvement,Bachelor's,Divorced,0,Mortgage,13.337205032082856,33572,11953,0.4912672681892639,12,1,1,409.61348100568006,0.40938083385189794,0.12744663379143747,0.327547982710242,0.3560301432698895,0.8016521116527797,13.90647329678426,2.817755389317002,0.8,0.7766666666666666,0.031007751937984496,0.8666666666666667,0,Legal Escalation Candidate Segment,0.421087499452954,0.3951173126896245,0.1837951878574216,0.6581578870667286,0.5121973734066264,22095.676584604214,Medium,Personalized follow-up plus flexible settlement options,11.226623668902462,32
BOR0276,62,9418,14916,48,5.100777283101593,846,319,22,Unemployed,Medical,Master's,Married,2,Mortgage,18.17690445538449,24363,3771,0.64563811181917,1,1,1,344.1862907277001,0.1319813123805479,0.03654558194178171,0.37154647337434527,0.15477754063372187,5.050430955978188,12.739301258110688,2.6438137897388123,0.8,0.7766666666666666,0.0028653295128939827,0.8666666666666667,0,Legal Escalation Candidate Segment,0.41481435142037915,0.38941474579792507,0.1957709027816962,0.6484631988991342,0.5184989207155628,15798.508914779606,High,Intensive collections with senior agent intervention,11.126542376076555,33
BOR0188,29,11576,15147,36,10.351133374173004,339,187,9,Employed,Home Improvement,PhD,Divorced,2,Rented,5.419726239339095,25212,33798,0.7477017363552086,14,3,1,491.25194895155886,0.10904025570145127,0.04243710685483404,0.4303326530800401,1.3404989489549042,0.6756743342332432,17.89474285787476,1.3091104907074873,0.9055,0.7380143650699724,0.06451612903225806,0.875,0,Legal Escalation Candidate Segment,0.4220731118720478,0.3970783806586183,0.18084850746933379,0.6603201402672187,0.5331419088263079,16647.991376417118,High,Personalized follow-up plus flexible settlement options,11.089680924412894,34
BOR0341,56,6858,11150,12,13.094488708479826,849,309,23,Employed,Medical,High School,Single,3,Mortgage,16.313612111752406,36975,79971,0.5772073952886395,8,3,2,996.3819797765591,0.13548653640517158,0.1452875444410264,0.3828434624072137,2.1627812635222847,1.1686693702793514,19.032489345744622,10.995096903501784,0.8,0.6409111313959887,0.02359882005899705,1.0,0,Legal Escalation Candidate Segment,0.42749226233605486,0.3784769149450691,0.19403082271887584,0.6545784113030964,0.5345240326529874,24203.036757931986,High,Personalized follow-up plus flexible settlement options,11.015443984673578,35
BOR0079,44,7644,39387,36,9.775399217697943,487,183,20,Unemployed,Education,Bachelor's,Married,1,Rented,13.472355424046276,27938,39131,0.6110911314434975,12,2,1,1266.758440498714,0.42938906331763477,0.1657193145602713,0.41067381384604573,1.4005869930920936,0.7875214493222897,15.733987631517508,2.897186532004992,0.9065000000000001,0.6661982801799039,0.056338028169014086,0.9333333333333333,0,Legal Escalation Candidate Segment,0.4212850364492948,0.3947978058931332,0.1839171576575717,0.6581637199851748,0.5434935820096364,18387.778008945814,Very High,Legal notice preparation and debt recovery escalation,10.976102649516434,36
BOR0106,56,9266,10951,24,14.478590345383036,441,91,19,Retired,Medical,High School,Divorced,2,Rented,7.492325376880657,14292,4792,0.1229996884182774,2,3,2,528.2684156676002,0.09848730124469386,0.05701148453136198,0.09330499666916547,0.3352690128034702,3.189175061969705,17.52442874202919,3.5797492901638237,0.6822777777777778,0.8570249999999999,0.01652892561983471,0.8516666666666666,0,Legal Escalation Candidate Segment,0.4061889278242556,0.3724877354964097,0.22132333667933432,0.6296815691221014,0.5049125356261897,8999.408985893073,Medium,Personalized follow-up plus flexible settlement options,10.956306507169954,37
BOR0031,49,5373,18918,24,5.29588421511,510,353,15,Self-Employed,Debt Consolidation,High School,Widowed,1,Rented,5.573308640961234,13403,45406,0.7634387074225037,9,3,2,832.4680584543163,0.2934115019542155,0.15493542870915994,0.48961223200149906,3.387496269770218,0.9503308448857201,16.01054825746151,3.6683105707086088,0.895,0.6544055817384984,0.02349869451697128,1.0,0,Legal Escalation Candidate Segment,0.4042031263111571,0.3744315433594725,0.22136533032937036,0.6288620523268407,0.5702396659875536,8428.638087336645,Very High,Legal notice preparation and debt recovery escalation,10.950143829481616,38
BOR0144,36,13185,16302,60,10.935968004362891,331,151,18,Employed,Education,PhD,Widowed,3,Owned,29.53963432772519,39993,20539,0.1460587524566673,10,0,2,353.92462607373227,0.10303375047402351,0.026842975052994485,0.09241165262501455,0.5135520328049208,0.9633167928949953,11.755312900613115,1.507164156253883,0.9039444444444444,0.7475138023369036,0.055248618784530384,0.7516666666666667,0,Legal Escalation Candidate Segment,0.427396475629346,0.4069827882550713,0.165620736115583,0.6715861485823887,0.5070078923103362,26858.744840255473,Medium,Personalized follow-up plus flexible settlement options,10.943453969785173,39
BOR0198,53,9576,5814,36,6.618195519752126,428,144,12,Self-Employed,Business,PhD,Divorced,2,Owned,1.7537396171063102,21015,75039,0.7854843039831615,13,3,1,178.50625050662504,0.050595238095238096,0.018641003603448728,0.4404048188122908,3.5705652835934525,0.7109313808118126,16.97880149515675,1.6589112474735248,0.836,0.6252088619402985,0.07471264367816093,0.94,0,Legal Escalation Candidate Segment,0.3973269037639862,0.380655764630262,0.22201733160575177,0.6257203625421435,0.5514817643476068,13149.513418823146,Very High,Legal notice preparation and debt recovery escalation,10.90117781867999,40
BOR0306,54,9140,45806,48,6.919583054723647,367,100,19,Unemployed,Medical,PhD,Single,1,Mortgage,4.63562489971557,37899,38231,0.3861206339659695,8,2,2,1095.1734965564992,0.4176331145149526,0.11982204557510932,0.26628626919008247,1.0087335092348284,1.1714118212300575,15.781104802422819,1.826818537916332,0.7442777777777777,0.6417340866290018,0.06153846153846154,0.7999999999999999,0,Legal Escalation Candidate Segment,0.4049808228817664,0.3669668426234238,0.22805233449480983,0.6251609284558206,0.5125009520592722,23692.974027547145,Medium,Personalized follow-up plus flexible settlement options,10.89347594405946,41
BOR0400,67,2760,21725,48,4.29019757396008,549,118,17,Unemployed,Medical,PhD,Single,3,Rented,9.284086472658029,34800,22301,0.4037216339398356,13,1,0,493.3561945120507,0.6559480676328503,0.17875224438842416,0.3024854086417005,0.6408149191115198,0.7469572429272777,13.087253498623296,1.6926062371436668,0.7032777777777778,0.6562113465160075,0.08783783783783784,0.7633333333333333,0,Legal Escalation Candidate Segment,0.40237629891757837,0.35432708768881416,0.24329661339360717,0.6149725515308668,0.5054233970604922,21401.044793274166,Medium,Personalized follow-up plus flexible settlement options,10.88352620239719,42
BOR0149,60,8172,22586,60,9.901326166272248,682,221,18,Unemployed,Home Improvement,PhD,Divorced,2,Mortgage,12.765169778155284,20981,25008,0.723919754924519,11,2,2,478.78990217804386,0.23031897536302823,0.05858907270901173,0.42452094792754075,1.1918787532170432,0.8292850171909526,15.311439890729732,1.6208032145616837,0.809,0.6441974802404468,0.043824701195219126,0.9333333333333333,0,Legal Escalation Candidate Segment,0.40472265964868037,0.3739256726086255,0.22135166774269419,0.6290780632138557,0.5428992589109938,13198.686844289907,Very High,Legal notice preparation and debt recovery escalation,10.849232641585756,43
BOR0221,53,5486,44964,48,14.784218304959497,694,157,14,Retired,Business,Master's,Divorced,2,Rented,15.058362153955253,34831,13335,0.5592009482571766,12,1,1,1246.469052590538,0.6830113014947138,0.22720908723852315,0.40980461079878255,0.3828376205787781,0.804483983344179,14.405362166055376,1.4765902179661987,0.7391111111111112,0.7492666666666666,0.06417112299465241,0.8283333333333334,0,Legal Escalation Candidate Segment,0.41628455295816935,0.3952754991736988,0.18843994786813212,0.6534498524623886,0.49732981812166965,22760.31181111746,Medium,Personalized follow-up plus flexible settlement options,10.812808592697438,44
BOR0210,44,13125,32306,48,10.175462577241758,495,214,20,Self-Employed,Medical,Bachelor's,Widowed,3,Rented,12.58004041257865,23350,10702,0.4877789649147924,10,1,1,822.0885649526562,0.2051174603174603,0.06263531923448809,0.2964643243586555,0.4583101366108518,0.9143995535211341,13.298259980229085,2.2377658450531928,0.9025000000000001,0.8227916666666667,0.040983606557377046,0.8666666666666667,0,Legal Escalation Candidate Segment,0.4373776290908442,0.4160689133668301,0.1465534575423258,0.6870189771109423,0.5139376648778875,16041.893115540503,High,Intensive collections with senior agent intervention,10.803649354143328,45
BOR0070,55,7104,44756,48,6.913996657443229,348,266,21,Unemployed,Medical,PhD,Married,3,Mortgage,1.5823185648665217,17509,19613,0.6424499306141686,10,0,0,1069.9532107128275,0.5250093843843844,0.1506127830395309,0.42112321420558163,1.1201027984009138,0.8882297659345362,10.446061364878325,2.4444212880501093,0.9760000000000001,0.5954187723054961,0.033783783783783786,0.8,0,Legal Escalation Candidate Segment,0.40651002719301016,0.3593229203542604,0.23416705245272915,0.6221037794055664,0.5608325433863819,10892.415073612061,Very High,Legal notice preparation and debt recovery escalation,10.789463759612657,46
