Date,App,Usage (minutes),Notifications,Times Opened,Synthetic
2024-08-09,WhatsApp,52.0,89,68,0
2024-08-09,X,22.0,16,6,0
2024-08-10,Facebook,53.0,26,47,0
2024-08-10,Facebook,18.0,59,36,0
2024-08-10,Instagram,91.0,23,45,0
2024-08-10,LinkedIn,22.0,12,5,0
2024-08-10,Netflix,83.0,1,2,0
2024-08-10,Netflix,104.0,1,2,0
2024-08-10,WhatsApp,63.0,73,88,0
2024-08-10,X,27.0,10,16,0
2024-08-11,LinkedIn,16.0,11,8,0
2024-08-11,Netflix,58.0,0,5,0
2024-08-11,Safari,16.0,2,10,0
2024-08-12,Facebook,58.0,64,22,0
2024-08-12,Facebook,50.0,28,21,0
2024-08-12,Instagram,59.0,47,16,0
2024-08-12,Netflix,109.0,1,2,0
2024-08-12,WhatsApp,58.0,51,32,0
2024-08-12,X,34.0,34,15,0
2024-08-13,8 Ball Pool,23.0,6,8,0
2024-08-13,Facebook,13.0,45,15,0
2024-08-13,Safari,1.0,0,7,0
2024-08-13,X,29.0,47,8,0
2024-08-13,X,21.0,26,6,0
2024-08-13,X,23.0,7,11,0
2024-08-14,8 Ball Pool,28.0,2,15,0
2024-08-14,Facebook,40.0,67,14,0
2024-08-14,Instagram,110.0,45,64,0
2024-08-14,LinkedIn,19.0,2,5,0
2024-08-14,X,17.0,5,9,0
2024-08-15,Instagram,91.0,71,61,0
2024-08-15,Safari,11.0,0,1,0
2024-08-16,8 Ball Pool,20.0,3,4,0
2024-08-16,Facebook,34.0,31,22,0
2024-08-16,Facebook,48.0,54,48,0
2024-08-16,Facebook,54.0,10,31,0
2024-08-16,Instagram,44.0,71,54,0
2024-08-16,LinkedIn,25.0,12,5,0
2024-08-16,Netflix,38.0,1,2,0
2024-08-17,LinkedIn,13.0,2,5,0
2024-08-17,Netflix,106.0,1,3,0
2024-08-17,Safari,19.0,1,7,0
2024-08-17,WhatsApp,68.0,107,81,0
2024-08-17,WhatsApp,56.0,105,88,0
2024-08-17,WhatsApp,21.0,51,83,0
2024-08-17,WhatsApp,21.0,50,77,0
2024-08-17,X,22.0,39,7,0
2024-08-18,Facebook,56.0,21,18,0
2024-08-18,Instagram,38.0,62,16,0
2024-08-18,Instagram,119.0,53,48,0
2024-08-18,LinkedIn,24.0,13,8,0
2024-08-18,LinkedIn,19.0,2,5,0
2024-08-18,WhatsApp,59.0,50,40,0
2024-08-19,Netflix,72.0,1,1,0
2024-08-19,Netflix,57.0,0,4,0
2024-08-19,Netflix,119.0,0,4,0
2024-08-19,WhatsApp,21.0,102,73,0
2024-08-19,WhatsApp,45.0,116,48,0
2024-08-20,Facebook,28.0,67,25,0
2024-08-20,Facebook,26.0,16,34,0
2024-08-20,Instagram,89.0,80,58,0
2024-08-20,LinkedIn,17.0,13,3,0
2024-08-20,Netflix,109.0,1,2,0
2024-08-20,Netflix,38.0,1,2,0
2024-08-20,WhatsApp,79.0,108,65,0
2024-08-20,WhatsApp,51.0,120,81,0
2024-08-21,8 Ball Pool,20.0,4,8,0
2024-08-21,Facebook,14.0,44,21,0
2024-08-21,Instagram,102.0,48,32,0
2024-08-21,Instagram,109.0,62,38,0
2024-08-22,8 Ball Pool,7.0,9,4,0
2024-08-22,8 Ball Pool,30.0,3,8,0
2024-08-22,Instagram,82.0,11,38,0
2024-08-22,Instagram,33.0,63,43,0
2024-08-22,LinkedIn,7.0,8,9,0
2024-08-22,Safari,2.0,2,10,0
2024-08-22,WhatsApp,51.0,145,81,0
2024-08-22,WhatsApp,30.0,65,88,0
2024-08-23,8 Ball Pool,26.0,6,6,0
2024-08-23,Facebook,34.0,44,50,0
2024-08-23,LinkedIn,5.0,7,1,0
2024-08-23,Safari,3.0,1,9,0
2024-08-23,Safari,15.0,1,2,0
2024-08-23,Safari,19.0,0,10,0
2024-08-23,WhatsApp,56.0,145,30,0
2024-08-23,WhatsApp,23.0,104,85,0
2024-08-23,WhatsApp,50.0,143,71,0
2024-08-24,8 Ball Pool,26.0,8,1,0
2024-08-24,8 Ball Pool,24.0,1,8,0
2024-08-24,Netflix,83.0,0,4,0
2024-08-24,Netflix,78.0,0,1,0
2024-08-24,Safari,13.0,1,7,0
2024-08-24,X,15.0,48,12,0
2024-08-24,X,45.0,15,23,0
2024-08-25,8 Ball Pool,22.0,2,2,0
2024-08-25,Facebook,30.0,45,32,0
2024-08-25,Instagram,32.0,60,21,0
2024-08-25,LinkedIn,22.0,10,1,0
2024-08-25,Netflix,35.0,0,1,0
2024-08-25,Safari,4.0,0,4,0
2024-08-26,Facebook,11.0,14,38,0
2024-08-26,Instagram,112.0,33,17,0
2024-08-26,Instagram,51.0,58,41,0
2024-08-26,Instagram,118.0,69,59,0
2024-08-26,LinkedIn,16.0,14,5,0
2024-08-26,LinkedIn,22.0,13,5,0
2024-08-26,LinkedIn,21.0,14,1,0
2024-08-26,Netflix,62.0,0,4,0
2024-08-26,Netflix,22.0,0,2,0
2024-08-26,Netflix,89.0,0,4,0
2024-08-26,Safari,5.0,1,5,0
2024-08-26,Safari,1.0,2,2,0
2024-08-26,WhatsApp,51.0,119,61,0
2024-08-26,X,37.0,18,11,0
2024-08-26,X,24.0,17,23,0
2024-08-26,X,37.0,32,11,0
2024-08-27,8 Ball Pool,6.0,5,14,0
2024-08-27,Facebook,28.0,58,45,0
2024-08-27,Facebook,19.0,35,28,0
2024-08-27,Instagram,71.0,69,30,0
2024-08-27,WhatsApp,36.0,87,53,0
2024-08-27,WhatsApp,74.0,58,48,0
2024-08-27,X,23.0,19,19,0
2024-08-28,8 Ball Pool,20.0,3,4,0
2024-08-28,8 Ball Pool,18.0,5,6,0
2024-08-28,Facebook,40.0,28,48,0
2024-08-28,Instagram,50.0,42,26,0
2024-08-28,LinkedIn,21.0,10,8,0
2024-08-28,Safari,10.0,1,3,0
2024-08-28,WhatsApp,76.0,138,79,0
2024-08-29,8 Ball Pool,21.0,5,15,0
2024-08-29,8 Ball Pool,25.0,7,1,0
2024-08-29,Instagram,37.0,56,49,0
2024-08-29,LinkedIn,13.0,8,1,0
2024-08-29,LinkedIn,10.0,3,3,0
2024-08-29,Netflix,49.0,0,1,0
2024-08-30,8 Ball Pool,7.0,9,3,0
2024-08-30,Facebook,26.0,58,29,0
2024-08-30,Instagram,80.0,64,66,0
2024-08-30,Safari,17.0,1,6,0
2024-08-30,Safari,15.0,2,7,0
2024-08-30,Safari,9.0,0,1,0
2024-08-30,Safari,16.0,0,8,0
2024-08-30,Safari,14.0,1,4,0
2024-08-30,WhatsApp,31.0,118,66,0
2024-08-30,X,19.0,27,11,0
2024-08-30,X,15.0,5,24,0
2024-08-30,X,19.0,37,23,0
2024-08-31,8 Ball Pool,19.89,4,8,1
2024-08-31,Facebook,39.72,48,34,1
2024-08-31,Instagram,85.75,50,42,1
2024-08-31,LinkedIn,17.88,9,6,1
2024-08-31,Netflix,88.84,1,3,1
2024-08-31,Safari,10.45,0,6,1
2024-08-31,WhatsApp,49.53,115,79,1
2024-08-31,X,30.8,27,13,1
2024-09-01,8 Ball Pool,21.25,4,7,1
2024-09-01,Facebook,39.97,48,36,1
2024-09-01,Instagram,84.13,56,40,1
2024-09-01,LinkedIn,16.81,9,5,1
2024-09-01,Netflix,76.72,1,3,1
2024-09-01,Safari,12.93,0,6,1
2024-09-01,WhatsApp,49.42,108,75,1
2024-09-01,X,31.32,34,15,1
2024-09-02,8 Ball Pool,18.25,4,7,1
2024-09-02,Facebook,35.4,42,31,1
2024-09-02,Instagram,74.94,50,41,1
2024-09-02,LinkedIn,15.89,9,5,1
2024-09-02,Netflix,71.24,1,2,1
2024-09-02,Safari,10.21,1,6,1
2024-09-02,WhatsApp,50.11,89,62,1
2024-09-02,X,28.97,28,13,1
2024-09-03,8 Ball Pool,18.63,5,9,1
2024-09-03,Facebook,33.76,46,30,1
2024-09-03,Instagram,78.61,53,45,1
2024-09-03,LinkedIn,16.44,10,5,1
2024-09-03,Netflix,88.18,1,3,1
2024-09-03,Safari,12.71,1,7,1
2024-09-03,WhatsApp,54.31,97,73,1
2024-09-03,X,29.58,25,14,1
2024-09-04,8 Ball Pool,20.28,6,9,1
2024-09-04,Facebook,35.39,48,36,1
2024-09-04,Instagram,85.3,58,50,1
2024-09-04,LinkedIn,17.36,10,5,1
2024-09-04,Netflix,75.49,0,3,1
2024-09-04,Safari,11.28,0,5,1
2024-09-04,WhatsApp,54.33,114,76,1
2024-09-04,X,29.16,28,14,1
2024-09-05,8 Ball Pool,17.86,5,7,1
2024-09-05,Facebook,39.61,41,29,1
2024-09-05,Instagram,78.27,51,45,1
2024-09-05,LinkedIn,17.0,11,5,1
2024-09-05,Netflix,77.89,0,3,1
2024-09-05,Safari,11.08,0,5,1
2024-09-05,WhatsApp,49.45,110,73,1
2024-09-05,X,27.95,29,14,1
2024-09-06,8 Ball Pool,18.32,4,7,1
2024-09-06,Facebook,31.25,38,29,1
2024-09-06,Instagram,75.3,46,42,1
2024-09-06,LinkedIn,15.83,11,5,1
2024-09-06,Netflix,63.52,0,2,1
2024-09-06,Safari,9.63,1,5,1
2024-09-06,WhatsApp,43.5,95,66,1
2024-09-06,X,22.62,23,11,1
2024-09-07,8 Ball Pool,18.56,5,8,1
2024-09-07,Facebook,39.46,42,33,1
2024-09-07,Instagram,87.13,58,50,1
2024-09-07,LinkedIn,17.32,10,5,1
2024-09-07,Netflix,75.88,0,3,1
2024-09-07,Safari,10.97,1,6,1
2024-09-07,WhatsApp,57.6,112,78,1
2024-09-07,X,29.48,29,14,1
2024-09-08,8 Ball Pool,19.41,5,8,1
2024-09-08,Facebook,34.46,45,33,1
2024-09-08,Instagram,79.21,55,46,1
2024-09-08,LinkedIn,16.77,9,6,1
2024-09-08,Netflix,80.0,1,3,1
2024-09-08,Safari,11.08,1,5,1
2024-09-08,WhatsApp,51.21,107,75,1
2024-09-08,X,28.6,29,14,1
2024-09-09,8 Ball Pool,18.57,5,8,1
2024-09-09,Facebook,31.58,39,30,1
2024-09-09,Instagram,75.38,47,37,1
2024-09-09,LinkedIn,15.41,9,5,1
2024-09-09,Netflix,74.08,0,2,1
2024-09-09,Safari,9.59,0,5,1
2024-09-09,WhatsApp,47.68,94,73,1
2024-09-09,X,25.19,28,14,1
2024-09-10,8 Ball Pool,22.66,5,8,1
2024-09-10,Facebook,36.08,49,33,1
2024-09-10,Instagram,83.55,52,46,1
2024-09-10,LinkedIn,17.98,10,5,1
2024-09-10,Netflix,87.27,0,3,1
2024-09-10,Safari,10.76,1,5,1
2024-09-10,WhatsApp,55.62,107,77,1
2024-09-10,X,31.04,27,16,1
2024-09-11,8 Ball Pool,19.1,5,9,1
2024-09-11,Facebook,36.94,38,32,1
2024-09-11,Instagram,80.47,52,47,1
2024-09-11,LinkedIn,18.63,11,5,1
2024-09-11,Netflix,77.23,0,3,1
2024-09-11,Safari,12.25,1,6,1
2024-09-11,WhatsApp,54.54,116,71,1
2024-09-11,X,29.37,31,14,1
2024-09-12,8 Ball Pool,18.87,4,7,1
2024-09-12,Facebook,34.7,40,35,1
2024-09-12,Instagram,80.7,54,50,1
2024-09-12,LinkedIn,16.08,10,5,1
2024-09-12,Netflix,83.2,1,3,1
2024-09-12,Safari,11.38,0,5,1
2024-09-12,WhatsApp,50.18,105,74,1
2024-09-12,X,28.05,21,14,1
2024-09-13,8 Ball Pool,18.01,5,7,1
2024-09-13,Facebook,31.46,42,29,1
2024-09-13,Instagram,73.48,49,36,1
2024-09-13,LinkedIn,15.76,9,5,1
2024-09-13,Netflix,76.28,1,3,1
2024-09-13,Safari,9.78,1,5,1
2024-09-13,WhatsApp,43.56,79,61,1
2024-09-13,X,25.74,23,14,1
2024-09-14,8 Ball Pool,18.58,5,8,1
2024-09-14,Facebook,36.39,43,33,1
2024-09-14,Instagram,74.77,59,42,1
2024-09-14,LinkedIn,16.87,9,5,1
2024-09-14,Netflix,70.73,0,2,1
2024-09-14,Safari,13.22,1,5,1
2024-09-14,WhatsApp,51.68,108,80,1
2024-09-14,X,27.23,26,13,1
2024-09-15,8 Ball Pool,20.28,5,8,1
2024-09-15,Facebook,42.06,37,29,1
2024-09-15,Instagram,78.24,55,46,1
2024-09-15,LinkedIn,17.27,10,4,1
2024-09-15,Netflix,84.35,1,2,1
2024-09-15,Safari,12.7,1,5,1
2024-09-15,WhatsApp,55.18,111,75,1
2024-09-15,X,28.95,31,16,1
2024-09-16,8 Ball Pool,18.99,5,8,1
2024-09-16,Facebook,32.16,40,32,1
2024-09-16,Instagram,71.0,49,45,1
2024-09-16,LinkedIn,15.18,9,5,1
2024-09-16,Netflix,71.74,0,3,1
2024-09-16,Safari,11.74,1,5,1
2024-09-16,WhatsApp,51.83,96,68,1
2024-09-16,X,25.88,24,12,1
2024-09-17,8 Ball Pool,20.63,4,8,1
2024-09-17,Facebook,38.17,42,35,1
2024-09-17,Instagram,78.65,49,48,1
2024-09-17,LinkedIn,16.8,10,5,1
2024-09-17,Netflix,70.68,1,3,1
2024-09-17,Safari,12.32,1,6,1
2024-09-17,WhatsApp,49.05,118,76,1
2024-09-17,X,31.61,31,14,1
2024-09-18,8 Ball Pool,19.56,5,8,1
2024-09-18,Facebook,40.51,45,36,1
2024-09-18,Instagram,87.49,53,42,1
2024-09-18,LinkedIn,15.69,10,6,1
2024-09-18,Netflix,91.54,1,3,1
2024-09-18,Safari,12.02,1,6,1
2024-09-18,WhatsApp,51.44,111,78,1
2024-09-18,X,27.93,26,15,1
2024-09-19,8 Ball Pool,21.03,4,8,1
2024-09-19,Facebook,36.2,40,33,1
2024-09-19,Instagram,75.81,52,47,1
2024-09-19,LinkedIn,18.21,10,4,1
2024-09-19,Netflix,80.95,0,2,1
2024-09-19,Safari,11.31,1,6,1
2024-09-19,WhatsApp,49.83,102,69,1
2024-09-19,X,29.28,22,14,1
2024-09-20,8 Ball Pool,14.87,4,7,1
2024-09-20,Facebook,32.24,38,32,1
2024-09-20,Instagram,66.31,47,41,1
2024-09-20,LinkedIn,14.54,9,5,1
2024-09-20,Netflix,70.76,0,2,1
2024-09-20,Safari,8.95,0,4,1
2024-09-20,WhatsApp,46.78,93,63,1
2024-09-20,X,28.17,24,14,1
2024-09-21,8 Ball Pool,20.27,5,9,1
2024-09-21,Facebook,29.41,38,30,1
2024-09-21,Instagram,68.79,57,41,1
2024-09-21,LinkedIn,17.38,9,5,1
2024-09-21,Netflix,72.89,1,2,1
2024-09-21,Safari,12.26,0,6,1
2024-09-21,WhatsApp,47.44,108,73,1
2024-09-21,X,30.12,25,14,1
2024-09-22,8 Ball Pool,19.52,5,9,1
2024-09-22,Facebook,36.22,43,30,1
2024-09-22,Instagram,85.74,56,49,1
2024-09-22,LinkedIn,17.69,10,5,1
2024-09-22,Netflix,82.72,0,3,1
2024-09-22,Safari,12.35,1,5,1
2024-09-22,WhatsApp,52.17,112,78,1
2024-09-22,X,29.64,26,14,1
2024-09-23,8 Ball Pool,17.82,4,6,1
2024-09-23,Facebook,30.92,37,35,1
2024-09-23,Instagram,78.93,41,39,1
2024-09-23,LinkedIn,15.23,7,4,1
2024-09-23,Netflix,72.8,0,2,1
2024-09-23,Safari,10.73,1,6,1
2024-09-23,WhatsApp,50.49,103,67,1
2024-09-23,X,29.4,23,14,1
2024-09-24,8 Ball Pool,18.54,5,8,1
2024-09-24,Facebook,41.9,42,32,1
2024-09-24,Instagram,83.8,54,47,1
2024-09-24,LinkedIn,16.51,9,5,1
2024-09-24,Netflix,72.35,1,3,1
2024-09-24,Safari,12.91,1,5,1
2024-09-24,WhatsApp,50.79,103,72,1
2024-09-24,X,28.84,28,15,1
2024-09-25,8 Ball Pool,21.12,5,8,1
2024-09-25,Facebook,34.4,38,33,1
2024-09-25,Instagram,89.11,58,46,1
2024-09-25,LinkedIn,17.37,8,5,1
2024-09-25,Netflix,94.56,0,3,1
2024-09-25,Safari,12.86,1,6,1
2024-09-25,WhatsApp,53.86,107,77,1
2024-09-25,X,29.21,30,13,1
2024-09-26,8 Ball Pool,19.86,5,8,1
2024-09-26,Facebook,32.63,42,28,1
2024-09-26,Instagram,69.8,51,45,1
2024-09-26,LinkedIn,15.42,10,4,1
2024-09-26,Netflix,73.45,1,3,1
2024-09-26,Safari,10.66,1,6,1
2024-09-26,WhatsApp,47.46,95,75,1
2024-09-26,X,29.11,21,14,1
2024-09-27,8 Ball Pool,16.25,4,7,1
2024-09-27,Facebook,29.79,38,29,1
2024-09-27,Instagram,66.02,49,42,1
2024-09-27,LinkedIn,14.82,8,5,1
2024-09-27,Netflix,68.68,1,2,1
2024-09-27,Safari,10.51,1,5,1
2024-09-27,WhatsApp,44.07,90,61,1
2024-09-27,X,26.96,26,11,1
2024-09-28,8 Ball Pool,17.87,5,7,1
2024-09-28,Facebook,37.45,39,34,1
2024-09-28,Instagram,82.48,43,41,1
2024-09-28,LinkedIn,16.94,9,4,1
2024-09-28,Netflix,83.69,1,3,1
2024-09-28,Safari,10.14,1,7,1
2024-09-28,WhatsApp,53.29,116,72,1
2024-09-28,X,27.22,26,14,1
2024-09-29,8 Ball Pool,20.0,5,8,1
2024-09-29,Facebook,34.99,46,33,1
2024-09-29,Instagram,94.22,53,40,1
2024-09-29,LinkedIn,15.68,9,5,1
2024-09-29,Netflix,78.74,1,3,1
2024-09-29,Safari,12.44,0,5,1
2024-09-29,WhatsApp,52.53,117,69,1
2024-09-29,X,26.61,29,15,1
2024-09-30,8 Ball Pool,18.98,4,7,1
2024-09-30,Facebook,29.82,39,31,1
2024-09-30,Instagram,82.66,50,45,1
2024-09-30,LinkedIn,14.95,9,5,1
2024-09-30,Netflix,74.36,0,3,1
2024-09-30,Safari,11.37,1,5,1
2024-09-30,WhatsApp,54.7,115,58,1
2024-09-30,X,26.55,27,13,1
2024-10-01,8 Ball Pool,19.67,4,7,1
2024-10-01,Facebook,38.56,43,36,1
2024-10-01,Instagram,84.55,56,47,1
2024-10-01,LinkedIn,16.04,10,5,1
2024-10-01,Netflix,84.36,0,3,1
2024-10-01,Safari,11.67,1,6,1
2024-10-01,WhatsApp,52.35,105,74,1
2024-10-01,X,28.67,23,15,1
2024-10-02,8 Ball Pool,18.41,5,8,1
2024-10-02,Facebook,40.45,44,35,1
2024-10-02,Instagram,88.61,64,49,1
2024-10-02,LinkedIn,17.77,11,5,1
2024-10-02,Netflix,82.66,0,3,1
2024-10-02,Safari,11.68,0,6,1
2024-10-02,WhatsApp,52.4,117,76,1
2024-10-02,X,28.64,27,15,1
2024-10-03,8 Ball Pool,17.8,5,9,1
2024-10-03,Facebook,40.86,48,29,1
2024-10-03,Instagram,71.25,54,47,1
2024-10-03,LinkedIn,16.33,10,5,1
2024-10-03,Netflix,78.64,1,3,1
2024-10-03,Safari,12.61,1,6,1
2024-10-03,WhatsApp,47.64,104,74,1
2024-10-03,X,30.66,27,14,1
2024-10-04,8 Ball Pool,16.66,5,6,1
2024-10-04,Facebook,29.33,42,26,1
2024-10-04,Instagram,78.53,46,43,1
2024-10-04,LinkedIn,14.26,7,4,1
2024-10-04,Netflix,71.29,0,2,1
2024-10-04,Safari,9.71,0,6,1
2024-10-04,WhatsApp,41.71,85,72,1
2024-10-04,X,23.29,25,12,1
2024-10-05,8 Ball Pool,19.2,4,8,1
2024-10-05,Facebook,32.57,41,33,1
2024-10-05,Instagram,86.85,63,43,1
2024-10-05,LinkedIn,15.66,8,5,1
2024-10-05,Netflix,74.93,1,2,1
2024-10-05,Safari,12.07,1,7,1
2024-10-05,WhatsApp,49.74,107,72,1
2024-10-05,X,31.04,26,14,1
2024-10-06,8 Ball Pool,21.12,4,8,1
2024-10-06,Facebook,36.95,42,32,1
2024-10-06,Instagram,81.16,54,44,1
2024-10-06,LinkedIn,16.13,10,6,1
2024-10-06,Netflix,82.74,0,3,1
2024-10-06,Safari,10.77,1,6,1
2024-10-06,WhatsApp,55.07,121,78,1
2024-10-06,X,31.54,28,13,1
2024-10-07,8 Ball Pool,18.4,4,6,1
2024-10-07,Facebook,31.68,37,35,1
2024-10-07,Instagram,71.06,40,40,1
2024-10-07,LinkedIn,14.64,9,4,1
2024-10-07,Netflix,67.9,0,2,1
2024-10-07,Safari,10.17,1,5,1
2024-10-07,WhatsApp,43.11,91,67,1
2024-10-07,X,31.07,23,13,1
2024-10-08,8 Ball Pool,19.87,5,8,1
2024-10-08,Facebook,37.67,46,32,1
2024-10-08,Instagram,85.06,53,51,1
2024-10-08,LinkedIn,16.54,10,6,1
2024-10-08,Netflix,81.33,0,3,1
2024-10-08,Safari,10.71,1,6,1
2024-10-08,WhatsApp,51.79,99,78,1
2024-10-08,X,30.09,29,14,1
2024-10-09,8 Ball Pool,20.22,6,8,1
2024-10-09,Facebook,37.1,42,28,1
2024-10-09,Instagram,84.87,60,47,1
2024-10-09,LinkedIn,16.67,11,5,1
2024-10-09,Netflix,69.69,1,3,1
2024-10-09,Safari,13.1,1,6,1
2024-10-09,WhatsApp,50.18,121,83,1
2024-10-09,X,29.86,28,14,1
2024-10-10,8 Ball Pool,17.64,5,8,1
2024-10-10,Facebook,31.57,36,27,1
2024-10-10,Instagram,84.38,53,48,1
2024-10-10,LinkedIn,15.09,10,6,1
2024-10-10,Netflix,68.54,1,2,1
2024-10-10,Safari,11.72,1,5,1
2024-10-10,WhatsApp,49.84,108,67,1
2024-10-10,X,31.83,27,14,1
2024-10-11,8 Ball Pool,18.97,5,7,1
2024-10-11,Facebook,28.57,42,29,1
2024-10-11,Instagram,72.27,49,40,1
2024-10-11,LinkedIn,15.31,8,3,1
2024-10-11,Netflix,73.26,0,3,1
2024-10-11,Safari,10.56,1,6,1
2024-10-11,WhatsApp,47.73,92,61,1
2024-10-11,X,25.06,24,12,1
2024-10-12,8 Ball Pool,21.45,4,7,1
2024-10-12,Facebook,39.9,44,34,1
2024-10-12,Instagram,80.21,55,51,1
2024-10-12,LinkedIn,14.65,10,5,1
2024-10-12,Netflix,82.41,0,3,1
2024-10-12,Safari,13.13,1,6,1
2024-10-12,WhatsApp,50.92,105,72,1
2024-10-12,X,26.62,27,14,1
2024-10-13,8 Ball Pool,18.74,5,7,1
2024-10-13,Facebook,34.71,46,35,1
2024-10-13,Instagram,82.46,57,50,1
2024-10-13,LinkedIn,16.07,10,5,1
2024-10-13,Netflix,83.7,0,3,1
2024-10-13,Safari,11.84,0,6,1
2024-10-13,WhatsApp,56.4,106,82,1
2024-10-13,X,31.72,26,14,1
2024-10-14,8 Ball Pool,18.93,4,6,1
2024-10-14,Facebook,32.06,41,31,1
2024-10-14,Instagram,82.14,50,35,1
2024-10-14,LinkedIn,16.6,9,5,1
2024-10-14,Netflix,79.6,0,3,1
2024-10-14,Safari,10.91,1,6,1
2024-10-14,WhatsApp,43.75,110,65,1
2024-10-14,X,25.57,30,12,1
2024-10-15,8 Ball Pool,18.41,5,9,1
2024-10-15,Facebook,35.3,40,31,1
2024-10-15,Instagram,85.86,46,50,1
2024-10-15,LinkedIn,17.07,10,6,1
2024-10-15,Netflix,84.72,1,3,1
2024-10-15,Safari,12.84,1,5,1
2024-10-15,WhatsApp,52.67,106,73,1
2024-10-15,X,30.43,31,14,1
2024-10-16,8 Ball Pool,22.88,6,8,1
2024-10-16,Facebook,37.86,45,32,1
2024-10-16,Instagram,85.73,59,44,1
2024-10-16,LinkedIn,16.38,12,5,1
2024-10-16,Netflix,79.72,0,3,1
2024-10-16,Safari,13.68,1,6,1
2024-10-16,WhatsApp,56.46,121,81,1
2024-10-16,X,27.97,25,16,1
2024-10-17,8 Ball Pool,17.69,4,8,1
2024-10-17,Facebook,35.51,44,33,1
2024-10-17,Instagram,71.4,53,44,1
2024-10-17,LinkedIn,16.82,10,6,1
2024-10-17,Netflix,78.26,0,3,1
2024-10-17,Safari,11.24,1,6,1
2024-10-17,WhatsApp,49.32,106,69,1
2024-10-17,X,26.4,28,14,1
2024-10-18,8 Ball Pool,16.04,4,6,1
2024-10-18,Facebook,36.28,42,26,1
2024-10-18,Instagram,69.29,48,48,1
2024-10-18,LinkedIn,15.63,7,5,1
2024-10-18,Netflix,74.56,0,2,1
2024-10-18,Safari,10.76,2,5,1
2024-10-18,WhatsApp,42.35,88,63,1
2024-10-18,X,26.2,26,12,1
2024-10-19,8 Ball Pool,19.29,5,8,1
2024-10-19,Facebook,41.01,41,35,1
2024-10-19,Instagram,86.34,57,47,1
2024-10-19,LinkedIn,16.44,10,5,1
2024-10-19,Netflix,79.4,0,3,1
2024-10-19,Safari,12.37,0,5,1
2024-10-19,WhatsApp,52.71,96,73,1
2024-10-19,X,27.53,30,14,1
2024-10-20,8 Ball Pool,19.77,5,7,1
2024-10-20,Facebook,37.43,43,30,1
2024-10-20,Instagram,92.0,54,40,1
2024-10-20,LinkedIn,17.81,9,5,1
2024-10-20,Netflix,85.33,1,3,1
2024-10-20,Safari,13.31,1,3,1
2024-10-20,WhatsApp,58.29,117,73,1
2024-10-20,X,25.47,30,13,1
2024-10-21,8 Ball Pool,17.43,4,9,1
2024-10-21,Facebook,33.2,35,32,1
2024-10-21,Instagram,74.89,53,39,1
2024-10-21,LinkedIn,15.3,10,6,1
2024-10-21,Netflix,64.7,0,3,1
2024-10-21,Safari,11.55,1,4,1
2024-10-21,WhatsApp,43.51,103,60,1
2024-10-21,X,27.74,29,13,1
2024-10-22,8 Ball Pool,19.95,5,8,1
2024-10-22,Facebook,41.1,41,34,1
2024-10-22,Instagram,82.08,52,50,1
